ImageFilePath,Genus,ScientificName,Length,Width,TempMin,TempMax,Precipitation,Rain,Snowfall,WindGust,WindSpeed,TempAvg,Embedding,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051179.jpg/3225c97e-7684-4ffd-a60d-6bd23b82323b_392c6189-afd3-44e8-b456-2e342b6c1344.png,Euryderus,Euryderus grossus,0.920303881162268,0.64335110633589,34.1,15.3,0.0,0.0,0.0,40.7,24.8,24.700000000000003,[[ 2.361146  -1.0672762 -2.640723  ...  5.3135757 -4.790166   1.862331 ]],Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000056861.jpg/8cc933e1-68ff-452c-9830-c60c3f90f80d_747c39f3-16b7-4b06-b983-08126496965f.png,Amara,Amara quenseli,0.477025215698412,0.276833956956671,33.8,20.6,0.0,0.0,0.0,33.1,14.0,27.2,"[[ 0.90223724 -1.7143251   1.7018495  ...  0.23310319  4.4108644
  -0.24820213]]",Amara quenseli,Amara quenseli,Amara quenseli,Amara quenseli
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000049812.jpg/a88b8596-3539-4ff0-bd9c-3944c16e183d_497a32de-6758-44e7-8d0e-4de1071397df.png,Cyclotrachelus,Cyclotrachelus torvus,0.977586658908393,0.571957284362333,31.8,18.4,0.2,0.2,0.0,41.4,21.7,25.1,[[ 2.0580955 -2.1919217 -2.1468663 ...  2.2572408 -6.4713697  5.898299 ]],Pterostichus lachrymosus,Cyclotrachelus torvus,Pterostichus lachrymosus,Pterostichus lachrymosus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000034567.jpg/b9e6e597-ff2d-4521-a31a-684deb0fffb5_ff5208a6-105c-4ca7-942b-133b0088663c.png,Agonum,Agonum punctiforme,0.466204259930435,0.249159661487873,29.7,16.6,0.0,0.0,0.0,36.4,18.1,23.15,[[ 1.2465792 -1.8425803 -0.9201152 ...  1.1982275 -3.1610477  4.490994 ]],Calathus advena,Calathus advena,Calathus advena,Calathus advena
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051182.jpg/e4129572-7dbb-426f-8202-bbfc113fe8a2_e9e9c0d2-9751-43a0-aa03-bc73fce90f47.png,Pasimachus,Pasimachus elongatus,1.2838983845026,0.78205174910079,34.1,15.3,0.0,0.0,0.0,40.7,24.8,24.700000000000003,[[ 2.2001507 -1.260647  -3.329702  ...  2.170036  -1.2839774  1.4389598]],Pasimachus elongatus,Pasimachus elongatus,Pasimachus elongatus,Pasimachus elongatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000156508.jpg/28a89b91-b443-4c77-bc76-debbf3682d99_4910b510-d557-4c50-9f92-b2f7f0e6be17.png,Pterostichus,Pterostichus pensylvanicus,0.576598377204112,0.32631836065957,14.3,4.6,2.1,2.1,0.0,25.6,9.1,9.45,[[ 2.0735111 -1.7732848  1.3580712 ...  1.8132262 -0.5877812  5.8013873]],Calathus advena,Pterostichus restrictus,Calathus advena,Calathus advena
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000050015.jpg/be9a9d66-ecbd-4e1b-b548-8212355d0da1_ab07c004-d76d-4d10-8adb-adf09e31cce2.png,Carabus,Carabus maeander,1.23491862872216,0.589970620638752,26.4,16.8,3.8,3.8,0.0,35.3,17.3,21.6,[[ 2.4728181 -1.491505  -1.2218415 ...  3.3789632 -1.946138   2.7411048]],Chlaenius aestivus,Cyclotrachelus torvus,Pterostichus melanarius,Omus dejeanii
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046119.jpg/b1532ff5-322d-4688-afaf-269ae3d26645_90dd6b5f-6e22-4983-8915-c5d991e3e5df.png,Carabus,Carabus goryi,1.25748317703278,0.598014061577039,20.2,15.3,18.9,18.9,0.0,38.2,7.6,17.75,[[ 1.648132  -1.9176437 -3.1151035 ... -1.2940781 -3.564368   6.1249366]],Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046179.jpg/3d50f546-3783-4b4f-8ae1-9b0a59d5d973_e0519043-ea32-4611-9e67-2f12f3777ed7.png,Carabus,Carabus goryi,1.34093553465784,0.561007780453827,25.0,17.5,0.5,0.5,0.0,29.2,8.7,21.25,"[[ 1.3097057  -0.9327881  -4.5588303  ... -0.84648514 -4.506562
   4.4835677 ]]",Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051555_2.jpg/b1940f30-48e7-476f-901d-4467dc363763_4a0da6ce-2da7-4014-98b4-ed6a96eff353.png,Calathus,Calathus advena,0.515026202624605,0.315549546057571,23.0,11.5,0.1,0.1,0.0,55.8,16.0,17.25,[[ 1.8754361 -1.9879526  0.5106975 ...  3.1537774 -4.681766   4.572549 ]],Calathus advena,Calathus advena,Calathus advena,Calathus advena
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046082.jpg/84f5a674-636c-4464-8d0d-2227621476df_4bc935eb-b526-41bd-b964-2ba73f180918.png,Pterostichus,Pterostichus lachrymosus,0.820013487852978,0.451057947670234,25.6,16.9,0.1,0.1,0.0,56.5,18.3,21.25,"[[ 1.7045639  -1.7136841  -1.4592528  ... -0.16017798 -5.874329
   4.65791   ]]",Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000059784.jpg/52ad51f7-978f-4448-a516-8b0aadf5b5ec_e66d71cf-2250-4ebd-a3bb-2e008f50e182.png,Scaphinotus,Scaphinotus angusticollis,1.44068758703909,0.741763977746653,17.8,5.1,0.0,0.0,0.0,47.9,16.2,11.45,[[ 1.3692418 -1.4590628 -2.390264  ... -0.7823994 -5.691361   6.188094 ]],Scaphinotus angusticollis,Scaphinotus angusticollis,Scaphinotus angusticollis,Scaphinotus angusticollis
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046171.jpg/711b3d47-b904-4a3b-b443-f09dd5e12f57_af39e970-0c49-484b-a762-2267fff2979f.png,Pterostichus,Pterostichus lachrymosus,0.82880761384424,0.433717608972581,20.8,13.1,0.7,0.7,0.0,38.5,12.0,16.95,[[ 1.1044395 -3.5325124 -3.341863  ...  2.1851592 -2.5915098  6.2933064]],Synuchus impunctatus,Pterostichus lachrymosus,Synuchus impunctatus,Synuchus impunctatus
