ImageFilePath,ScientificName,PredSpecies
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/d63cb38a-ba18-4cce-9166-b4760b6518cf.png,Calosoma scrutator,Calosoma scrutator
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/punctiforme/0d18106f-646e-44fa-b5e4-1fabfdaadd59.png,Agonum punctiforme,Nebria gregaria
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Agonum/punctiforme/16d9f582-14e4-4754-8a4f-8d024a12a2c9.png,Agonum punctiforme,Agonum punctiforme
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Discoderus/parallelus/16f317a2-dd44-4fa1-8381-493308b5ecb5.png,Discoderus parallelus,Pterostichus tarsalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Discoderus/parallelus/0c9cc7c7-4c86-467d-9848-dbeac2a4f0f6.png,Discoderus parallelus,Harpalus tenebrosus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Discoderus/parallelus/ba871b5b-5c80-475e-89b3-d8e7378b7060.png,Discoderus parallelus,Anisodactylus nigerrimus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Discoderus/parallelus/2e459df2-887d-45ee-8418-d34e7a2afd43.png,Discoderus parallelus,Anisodactylus nigerrimus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Discoderus/parallelus/8c94ddef-49b3-4503-b504-757d9a237310.png,Discoderus parallelus,Pterostichus tristis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Pasimachus/41a0f0e6-08f0-4f01-9e11-30e0b24ec579.png,Unknown,Scaphinotus petersi
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Pasimachus/4fcffe7b-9c27-43bb-8775-e5f6020b4f9a.png,Unknown,Scarites subterraneus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Pasimachus/157eaeb9-5ed2-4379-b862-ca1cc7ec4092.png,Unknown,Trechus chalybeus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calathus/fuscipes/a0392bc8-c82c-4e94-8d54-3416627786b8.png,Calathus fuscipes,Harpalus katiae
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Bembidion/0f210dca-fee1-40a5-8425-a432f46ba5e8.png,Unknown,Bembidion atrocaeruleum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Bembidion/7324e914-ec39-4416-8b65-e7f1d169081c.png,Unknown,Bembidion atrocaeruleum
