ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475677/d197s0480.jpg,Acupalpus dubius,Badister bullatus,Dyschirius salinus,Harpalus anxius,Clivina collaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035931/d080s0624.jpg,Bembidion tetracolum,Agonum emarginatum,Bembidion tetracolum,Pterostichus strenuus,Pterostichus vernalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7873810/d123s0257.jpg,Pterostichus diligens,Pterostichus vernalis,Pterostichus vernalis,Pogonus chalceus,Pterostichus diligens
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4474169/d140s0143.jpg,Paranchus albipes,Paranchus albipes,Olisthopus rotundatus,Olisthopus rotundatus,Olisthopus rotundatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5753697/d106s0015.jpg,Poecilus cupreus,Poecilus versicolor,Poecilus versicolor,Pterostichus anthracinus,Anisodactylus poeciloides
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757304/d208s0274.jpg,Demetrias imperialis,Demetrias atricapillus,Demetrias atricapillus,Philorhizus melanocephalus,Demetrias imperialis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5753725/d107s0162.jpg,Poecilus lepidus,Amara aulica,Poecilus versicolor,Pterostichus anthracinus,Poecilus versicolor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8423772/d119s0200.jpg,Pterostichus anthracinus,Pterostichus melanarius,Pterostichus melanarius,Pterostichus madidus,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036216/d068s0081.jpg,Bembidion lampros,Bembidion articulatum,Bembidion lampros,Bembidion obtusum,Bembidion obtusum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1037319/d060s0288.jpg,Trechus obtusus,Notiophilus biguttatus,Trechus quadristriatus,Notiophilus biguttatus,Bembidion laterale
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475188/d188s0084.jpg,Ophonus cordatus,Amara familiaris,Ophonus rufibarbis,Amara familiaris,Amara fulva
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9415910/d198s0175.jpg,Acupalpus flavicollis,Bembidion articulatum,Acupalpus flavicollis,Acupalpus flavicollis,Acupalpus flavicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4470555/d021s0071.jpg,Carabus problematicus,Amara aulica,Harpalus rufipes,Amara aenea,Amara aulica
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8236590/d059s0124.jpg,Trechus fulvus,Trechus quadristriatus,Trechus fulvus,Nebria complanata,Trechoblemus micros
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755082/d148s0167.jpg,Agonum micans,Amara plebeja,Amara lunicollis,Amara familiaris,Amara lunicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872129/d076s0098.jpg,Bembidion decorum,Bembidion tibiale,Bembidion decorum,Bembidion tetracolum,Bembidion decorum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308800/d084s0188.jpg,Bembidion fumigatum,Bembidion assimile,Bembidion assimile,Bembidion assimile,Syntomus foveatus
